2026-02-16 16:09:19 | INFO     | production | Logging to: /Users/kyle/share/devel/chip/workbench/studies/production/output/logs/production_20260216_160919.log
2026-02-16 16:09:19 | INFO     | production | Logging to: /Users/kyle/share/devel/chip/workbench/studies/production/output/logs/production_20260216_160919.log
2026-02-16 16:09:19 | INFO     | production | ============================================================
2026-02-16 16:09:19 | INFO     | production | Starting: production
2026-02-16 16:09:19 | INFO     | production | ============================================================
2026-02-16 16:09:33 | INFO     | production | Result: n_years = 23
2026-02-16 16:09:33 | INFO     | production | Result: mean_constant_chip = 2.812020346699206
2026-02-16 16:09:33 | INFO     | production | Result: mean_nominal_chip = 2.5844114222137025
2026-02-16 16:09:33 | INFO     | production | Result: n_stable_countries = 10
2026-02-16 16:09:33 | INFO     | production | Result: bridge_mean_error_pct = 8.865625740508813
2026-02-16 16:09:33 | INFO     | production | Result: extrap_correction_std_pct = 6.445733067004268
2026-02-16 16:09:33 | INFO     | production | ============================================================
2026-02-16 16:09:33 | INFO     | production | Completed: production
2026-02-16 16:09:33 | INFO     | production | Duration: 14.4s
2026-02-16 16:09:33 | INFO     | production | Results: {'n_years': 23, 'mean_constant_chip': 2.812020346699206, 'mean_nominal_chip': 2.5844114222137025, 'n_stable_countries': 10, 'bridge_mean_error_pct': 8.865625740508813, 'extrap_correction_std_pct': 6.445733067004268}
2026-02-16 16:09:33 | INFO     | production | ============================================================
2026-02-16 16:09:33 | INFO     | production | Summary saved: /Users/kyle/share/devel/chip/workbench/studies/production/output/summaries/production_20260216_160933.json
