"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2022",18.3715943301744,"E"
"ITA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",12.4684950715246,
"ITA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",13.3919897302172,
"ITA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",11.3943074255838,
"ITA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2022",10.7230289436346,
"SWE","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",19.0162258640273,
"SWE","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",20.7578137841221,
"USA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",16.5444832883771,
"USA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",17.4516300481104,
"USA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2021",17.5175252789762,
"LVA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",6.94375957426242,
"LVA","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",8.53841134359358,
"LTU","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2019",14.4554711102355,
"LTU","GFCFASSET","OTHMACHINEQT","PC_GFCF","A","2020",15.5681077921948,
