country,chip_10,chip_11,abs_diff,pct_diff
SEN,0.03856464882259558,0.6818620472535377,0.6432973984309421,1668.1012742790099
ZAF,0.2521954280474148,0.9733024451605695,0.7211070171131547,285.9318357577762
BWA,0.21522231648318133,0.7891589488476897,0.5739366323645083,266.67152446960995
CYP,0.7052522192721938,2.5392715860516053,1.8340193667794114,260.05155555158444
ROU,0.6018561708270983,2.1147808867062423,1.512924715879144,251.37645657101322
TZA,0.0056507666817696665,0.018105998671023565,0.012455231989253898,220.41667424416218
ITA,1.4433302719908807,4.016255110435143,2.572924838444262,178.2630689852612
PAK,0.04555974447671903,0.12180028137581783,0.07624053689909879,167.34188871067443
TUN,0.09290445227524761,0.24426804560433116,0.15136359332908356,162.92393918930742
NAM,0.2328941956210609,0.5613789613254548,0.32848476570439394,141.0446339499449
ALB,1.2609410676338324,2.262114615486106,1.0011735478522736,79.39891669409936
BOL,0.260252180509183,0.4636397736213289,0.20338759311214594,78.15019751773778
SVN,2.8402891328161304,4.956128181294846,2.115839048478716,74.4937909325053
ARM,1.1966566162514423,2.085366146708001,0.8887095304565586,74.2660441088325
KOR,2.043809185190607,3.4587351763769165,1.4149259911863097,69.22984794465306
IND,0.4364044131236657,0.7355900145251969,0.2991856014015312,68.55696056326309
ISL,1.1807004813971909,1.9013408758443828,0.720640394447192,61.03498777220931
NGA,0.5023528906536059,0.8077707519151447,0.3054178612615388,60.79747264202321
CRI,0.9824033797145973,1.5668512759543762,0.5844478962397789,59.49164144870609
COG,0.5687789348545803,0.8796038828771622,0.31082494802258187,54.647760135851456
MDV,1.6213021876334321,2.3883187808047763,0.7670165931713442,47.30867564491084
JOR,1.4999636296386223,2.149514960413257,0.6495513307746346,43.30447205117415
MDG,0.1265888654512319,0.17731837119876054,0.05072950574752863,40.07422419554907
UGA,0.13667432411200534,0.19064017598797567,0.05396585187597033,39.484996341920834
PER,0.7699854705166465,1.054085404267923,0.2840999337512766,36.896791514864645
MLT,1.0117280648077704,1.3766377043867386,0.36490963957896816,36.06795662511363
AUT,4.007233732030723,5.2950900851788125,1.287856353148089,32.13828888626992
ARG,2.6235041814798215,3.3945927722802294,0.7710885908004079,29.39155181241089
CHE,4.730568515328306,6.060846272301637,1.3302777569733308,28.120885527032858
PRY,0.7228113901031775,0.9130688591670922,0.19025746906391472,26.321869255097997
HUN,2.947677842232655,3.718536172687784,0.7708583304551291,26.151376497482477
NIC,0.5689651214432468,0.7126378775526092,0.14367275610936237,25.251592882340407
IDN,1.1292547133894628,1.4059339186741329,0.27667920528467005,24.501044981624762
MUS,1.330956269788925,1.6500088121908298,0.31905254240190484,23.97167733035309
ISR,1.7583828474383312,2.1744063154126403,0.4160234679743091,23.659436201870683
GRC,0.7388573279314877,0.9120041336967757,0.17314680576528796,23.434403262945427
MMR,0.5610512218640393,0.6869940890791381,0.12594286721509873,22.447659377100283
CIV,0.29787137193680274,0.36335869893610956,0.06548732699930682,21.985102688284123
RUS,2.0922934120243384,2.475225233686928,0.38293182166258966,18.302013449064727
MLI,0.04261983724355787,0.05014872378001059,0.007528886536452721,17.665216536205186
LKA,0.9238517055817024,1.0727537775144367,0.1489020719327343,16.117529581111533
RWA,0.17464745821806565,0.19724338449538192,0.02259592627731627,12.938021834307422
TJK,1.3884067742974764,1.563891575904247,0.1754848016067707,12.639293098779694
EST,2.8163639871787285,3.1628122639476453,0.34644827676891676,12.301260715805727
BRA,1.2806586193953275,1.425593862325612,0.14493524293028437,11.317242607457452
VNM,0.6072506191598243,0.6723998964078374,0.06514927724801312,10.72856497670631
BGD,0.4269120035733832,0.46848500755738065,0.041573003983997436,9.738073335024259
PAN,1.21891949543857,1.336881725814836,0.11796223037626596,9.677606340509213
LTU,2.2226654347199766,2.418723843666464,0.19605840894648763,8.820869118846405
MNG,1.3326429131129427,1.4422845918576985,0.10964167874475583,8.22738617118685
UKR,2.043201461340891,2.1964412277397396,0.1532397663988485,7.499983202747021
GHA,0.5801630890834854,0.6219268670440068,0.04176377796052144,7.198627204377638
MDA,1.009093054145063,1.0605668425688313,0.051473788423768374,5.100995216677879
DEU,3.599889021082607,3.7406761922386935,0.14078717115608663,3.910875316754827
JAM,1.0552244629970153,1.0900071248047687,0.03478266180775336,3.296233458136929
NOR,4.893111629983372,5.027957491156754,0.13484586117338182,2.7558304688389064
ECU,1.8948175107430472,1.939810629285518,0.04499311854247079,2.374535715834021
LSO,0.39449453273876456,0.40317079965586483,0.008676266917100273,2.1993376833046563
USA,3.695075255536479,3.7557197509309925,0.06064449539451333,1.6412249061408763
CZE,3.0472205157140677,3.0878573825313804,0.04063686681731271,1.33357158130678
IRL,4.49036634711431,4.54729497060807,0.05692862349376071,1.2677946317307793
POL,1.8602915610074144,1.8766027674054675,0.016311206398053057,0.8768091378762132
SVK,3.1875005570686654,3.2010029168734264,0.013502359804761,0.42360337082350913
MYS,1.5357748951834056,1.5351364744385818,-0.0006384207448237866,-0.041569942758280666
THA,1.191522326606573,1.1809703273131635,-0.010551999293409553,-0.8855897248238221
KEN,0.3097729490383116,0.3067203437690391,-0.003052605269272479,-0.9854331305394081
LVA,2.6722294846807486,2.619422976334607,-0.052806508346141534,-1.976121760831867
NPL,0.45949656032680497,0.4468803197313703,-0.012616240595434647,-2.745665949373304
SWE,4.047201440669436,3.8657982174409455,-0.18140322322849078,-4.482189134585933
FRA,4.020878265559875,3.8390307749245247,-0.18184749063535044,-4.5225813522615965
MEX,1.7800331435338712,1.6956964802097816,-0.08433666332408962,-4.737926573471402
