scheme,chip_value,n_countries,top_contributor,top_pct
freedom_weighted,2.84724616733997,79,USA,27.06618906689398
gdp_weighted,2.6785102231200892,85,USA,24.036191501764257
hdi_weighted,2.19545967215879,85,CHE,1.4547973675095258
unweighted,2.0005505470789666,85,,0.0
labor_weighted,1.6748562382458645,85,USA,8.026241566189753
